Date;Finistère;Côtes d’Armor;Morbihan;Ille-et-Vilaine;Loire-Atlantique;Département non connu;Non résidents;cas4dep;morts4dep;mortsEhpad
06/03/2020;4;;24;6;3;;;34;;
07/03/2020;5;;35;7;4;;;47;;
08/03/2020;5;;47;7;8;;;59;;
09/03/2020;5;;55;11;9;;;71;;
10/03/2020;7;;63;11;9;;;81;;
11/03/2020;7;;73;13;12;;;93;;
12/03/2020;12;1;85;22;15;;;120;3;
13/03/2020;22;1;100;34;22;;;157;3;
14/03/2020;34;4;106;34;32;;;178;3;
15/03/2020;34;4;114;43;39;;;195;;
16/03/2020;35;5;129;44;39;;;213;3;
17/03/2020;43;11;132;50;;;;236;;
18/03/2020;51;12;134;55;;;;252;7;
19/03/2020;60;16;134;58;;;;268;10;
20/03/2020;79;21;134;72;;;;306;12;
21/03/2020;91;27;157;84;;;;359;15;
22/03/2020;99;33;174;91;;38;11;408;17;
23/03/2020;112;36;181;105;;42;14;448;22;
24/03/2020;127;38;185;115;147;42;19;484;25;
25/03/2020;143;47;206;135;;48;24;555;28;
26/03/2020;171;60;231;152;191;61;32;646;29;
27/03/2020;191;77;256;167;;67;39;730;32;
28/03/2020;210;92;276;187;;78;46;811;37;
29/03/2020;230;107;313;208;;56;48;906;39;
30/03/2020;235;112;320;220;;57;49;936;43;
31/03/2020;249;122;338;236;;44;51;996;49;
01/04/2020;260;136;357;257;;47;52;1062;54;
02/04/2020;270;154;372;272;425;48;55;1123;60;
03/04/2020;285;157;391;282;471;66;54;1169;69;
04/04/2020;291;167;414;289;510;72;52;1213;74;
05/04/2020;305;177;428;303;542;74;55;1268;81;
06/04/2020;312;178;438;308;556;75;57;1293;85;
07/04/2020;314;182;452;324;575;88;54;1326;95;
08/04/2020;326;188;459;338;633;98;51;1362;106;
09/04/2020;339;200;475;362;651;98;46;1422;;
10/04/2020;366;209;478;377;689;102;49;1479;;
11/04/2020;371;213;489;391;734;106;51;1515;;
12/04/2020;375;222;491;404;762;107;60;1552;;
13/04/2020;377;223;496;414;779;107;60;1570;;
14/04/2020;380;226;501;416;779;106;58;1581;;
15/04/2020;495;265;505;556;798;118;70;1891;;
16/04/2020;505;268;510;571;823;120;68;1922;;
17/04/2020;513;272;523;588;849;121;67;1963;;
20/04/2020;522;314;526;606;855;123;101;2069;;
21/04/2020;527;316;532;607;;;122;2104;;
22/04/2020;540;322;545;618;;;121;2146;;
23/04/2020;544;322;549;629;;;121;2165;;
24/04/2020;550;326;555;636;;;123;2190;;
27/04/2020;553;328;567;646;;;126;2220;;
28/04/2020;554;338;573;649;;;126;2240;;
29/04/2020;573;339;619;658;;60;129;2318;210;
30/04/2020;575;379;622;664;;60;129;2369;;
01/05/2020;577;380;626;667;;60;129;2379;;
04/05/2020;584;390;637;671;;74;;2282;;
05/05/2020;585;392;641;671;;;;2289;;
06/05/2020;591;404;642;672;;;;2309;;
07/05/2020;592;420;642;676;;;;2330;;
08/05/2020;594;420;642;677;;;;2333;;
11/05/2020;598;436;647;678;;64;128;2487;230;
12/05/2020;599;437;648;678;;65;129;2491;;
13/05/2020;599;439;649;680;;65;129;2496;;
14/05/2020;599;441;649;681;;65;129;2499;;
15/05/2020;599;446;659;684;;67;129;2517;;
18/05/2020;602;517;665;692;;68;129;2605;;
19/05/2020;602;517;665;694;;68;129;2607;;
20/05/2020;606;537;668;701;;67;130;2642;;
21/05/2020;608;578;673;703;;67;131;2693;;
22/05/2020;609;596;673;708;;67;131;2717;;
25/05/2020;612;617;679;714;;66;132;2754;242;
26/05/2020;612;619;686;715;;66;132;2764;;
27/05/2020;614;621;686;715;;67;132;2768;;
28/05/2020;614;631;689;715;;67;132;2781;;
29/05/2020;615;638;692;720;;67;132;2797;249;
01/06/2020;619;641;699;724;;67;133;2816;;
02/06/2020;619;642;699;724;;67;133;2817;;
03/06/2020;619;643;699;725;;67;133;2819;;
04/06/2020;620;643;699;728;;67;133;2823;;
05/06/2020;621;644;699;730;;67;133;2827;;
08/06/2020;622;645;699;732;;67;133;2831;;
09/06/2020;622;645;700;733;;67;133;2833;255;
10/06/2020;624;649;702;733;;67;133;2841;;
12/06/2020;627;649;702;735;;68;133;2846;;
15/06/2020;629;649;702;735;;68;134;2849;;
17/06/2020;629;650;702;736;;68;135;2852;257;
19/06/2020;629;652;705;736;;68;136;2858;257;65
22/06/2020;630;655;707;737;;68;136;2865;257;65
24/06/2020;631;655;711;737;;68;136;2870;258;65
26/06/2020;632;658;712;739;;68;136;2877;259;65
30/06/2020;632;667;722;742;;70;136;2899;259;65
03/07/2020;637;668;726;743;;70;136;2910;260;65
07/07/2020;645;670;727;744;;70;139;2925;260;65
10/07/2020;655;670;732;755;;74;141;2953;260;65
15/07/2020;703;683;734;785;;76;156;3061;260;65
17/07/2020;764;700;744;805;;77;170;3183;261;65
20/07/2020;839;;;;;;;;;
